1,Barcade,377 Claremont Hill,2
2,Next Level,37 Pine View Crossing,2
3,Warehouse,305 Coleman Hill,2
4,Mordor,546 suiza,2
5,Kawasaki,43 Debra Parkway,1
6,ComeCocos,03141 Farragut Alley,1
7,Yakata,9140 Mallory Place,1
8,Emporium,55 Meadow Valley Road,1
9,Zoom,639 Boyd Avenue,1
10,Kripto,50 Oak Valley Junction,1
11,Level Up,3 Pierstorff Plaza,1
12,Insert Coin,9425 Lighthouse Bay,2
13,Blizzard,39306 Hanson Lane,2
14,Camelot,73 Troy Lane,2
15,La Cosa,666 hell,1
16,Garmoth,673 East Circle,1
17,Kzarka,0643 Dovetail Park,2
18,El Eint,78348 Bayside Court,2
19,Inferno,82010 Center Place,1
20,Heidel,1554 Little Fleur Court,1
